year,round,circuit_ref,circuit_type,driver_code,constructor_ref,grid_position,finish_position,is_dnf,pos_gain,points_scored,laps_completed,status_finished,pace_delta_ms,avg_fast_corner_kmh,avg_medium_corner_kmh,avg_slow_corner_kmh,avg_speed_kmh,full_throttle_pct,min_speed_kmh,top_speed_kmh,avg_lap_ms,min_lap_ms,std_lap_ms,total_valid_laps,avg_tyre_life,max_tyre_life,personal_bests,soft_pct,medium_pct,hard_pct,lap_consistency,pb_rate,s1_best_ms,s2_best_ms,s3_best_ms,total_best_ms,s1_delta_ms,s2_delta_ms,s3_delta_ms,total_sector_delta_ms,ct_desert,ct_high_speed,ct_mixed,ct_street,lap_time_delta_pct,best_lap_delta_pct,grid_position_pct,top3_finish
2022,2,jeddah,desert,LAT,williams,0,18,0,,0.0,14,1,2.594666666666657,,,,,,,,98876.14285714286,97530.0,2261.119935482716,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022868205313688283,0.0,,,,,,,,,1,0,0,0,-3.4963040051934633,4.550010451785112,-0.05263157894736842,0
2022,2,jeddah,desert,TSU,alphatauri,0,19,0,,0.0,0,1,5.729526121057119,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,-0.05263157894736842,0
2022,2,jeddah,desert,MSC,haas,0,20,0,,0.0,0,1,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,-0.05263157894736842,0
2022,3,albert_park,street,LEC,ferrari,0,1,0,,26.0,58,1,-4.37517193206874,238.0,152.0,75.0,218.0,63.0,55.0,312.0,90802.55172413793,80260.0,20102.27134602475,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22138443209279315,0.0,,,,,,,,,0,0,0,1,-1.5062127758733772,-2.721047209260045,-0.05263157894736842,1
2022,3,albert_park,street,PER,red_bull,0,2,0,,18.0,58,1,-3.4164128289473594,238.0,152.0,75.0,218.0,63.0,55.0,312.0,91156.41379310345,81094.0,18347.59489189249,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20127596214497637,0.0,,,,,,,,,0,0,0,1,-1.1223775788927361,-1.7101993818556451,-0.05263157894736842,1
2022,3,albert_park,street,RUS,mercedes,0,3,0,,15.0,58,1,-4.427801160667906,238.0,152.0,75.0,218.0,63.0,55.0,312.0,91243.81034482758,81495.0,18822.31577699763,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20628594647532306,0.0,,,,,,,,,0,0,0,1,-1.0275782895975365,-1.2241682322283498,-0.05263157894736842,1
2022,3,albert_park,street,HAM,mercedes,0,4,0,,12.0,58,1,-4.427801160667906,238.0,152.0,75.0,218.0,63.0,55.0,312.0,91294.6724137931,81886.0,18383.514654881506,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201364594108605,0.0,,,,,,,,,0,0,0,1,-0.9724080581079159,-0.7502575601478698,-0.05263157894736842,0
2022,3,albert_park,street,NOR,mclaren,0,5,0,,10.0,58,1,-3.4884788074712705,238.0,152.0,75.0,218.0,63.0,55.0,312.0,91721.56896551725,82248.0,17658.7763698713,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19252588643037846,0.0,,,,,,,,,0,0,0,1,-0.5093521490628609,-0.31149627295315435,-0.05263157894736842,0
2022,3,albert_park,street,RIC,mclaren,0,6,0,,8.0,58,1,-3.4884788074712705,238.0,152.0,75.0,218.0,63.0,55.0,312.0,91729.05172413793,82451.0,17437.331592518767,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19009606296769602,0.0,,,,,,,,,0,0,0,1,-0.5012355794132115,-0.06545057875280286,-0.05263157894736842,0
2022,3,albert_park,street,OCO,alpine,0,7,0,,6.0,58,1,-3.751190155696153,238.0,152.0,75.0,218.0,63.0,55.0,312.0,91866.05172413793,82469.0,17177.739524533383,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18698680526856593,0.0,,,,,,,,,0,0,0,1,-0.3526312880855885,-0.04363371916853524,-0.05263157894736842,0
